icao_code,country_code,iata_code,lng,name,lat
UWGG,RU,GOJ,43.79,Nizhny Novgorod International Airport,56.23
KORF,US,ORF,-76.2,Norfolk International Airport,36.9
ESSP,SE,NRK,16.24,Norrkoeping Airport,58.59
EGSH,GB,NWI,1.28,Norwich International Airport,52.67
EDDN,DE,NUE,11.08,Nuremberg Airport,49.5
ENGM,NO,OSL,11.1,"Oslo Airport, Gardermoen",60.19
EBOS,BE,OST,2.87,Ostend-Bruges International Airport,51.2
MWCR,KY,GCM,-81.36,Owen Roberts International Airport,19.29
LIRQ,IT,FLR,11.2,Florence Peretola Airport,43.81
YPPH,AU,PER,115.96,Perth Airport,-31.94
LIRZ,IT,PEG,12.51,Perugia San Francesco d'Assisi - Umbria International Airport,43.1
LIRP,IT,PSA,10.4,Pisa International Airport,43.69
EPPO,PL,POZ,16.83,Poznan-Lawica Airport,52.42
OEMA,SA,MED,39.7,Prince Mohammad bin Abdulaziz Airport,24.55
ULOO,RU,PKV,28.4,Pskov Airport,57.79
KMLI,US,MLI,-90.51,Quad City International Airport,41.45
OJAI,JO,AMM,35.99,Queen Alia International Airport,31.72
OMRK,AE,RKT,55.94,Ras Al Khaimah International Airport,25.61
KRNO,US,RNO,-119.77,Reno/Tahoe International Airport,39.5
SARE,AR,RES,-59.05,Resistencia International Airport,-27.45
SBGL,BR,GIG,-43.24,Rio de Janeiro-Galeao International Airport,-22.81
LOWS,AT,SZG,13,Salzburg Airport,47.79
KSAT,US,SAT,-98.47,San Antonio International Airport,29.53
SAZS,AR,BRC,-71.16,Bariloche Aerodrome,-41.15
WMKJ,MY,JHB,103.67,Senai International Airport,1.64
RJSS,JP,SDJ,140.92,Sendai Airport,38.14
LEZL,ES,SVQ,-5.9,Seville San Pablo Airport,37.42
EINN,IE,SNN,-8.92,Shannon Airport,52.7
OMSJ,AE,SHJ,55.52,Sharjah International Airport,25.33
UUEE,RU,SVO,37.42,Sheremetyevo International Airport,55.97
LRSB,RO,SBZ,24.09,Sibiu International Airport,45.79
SKSM,CO,SMR,-74.23,Simon Bolivar International Airport,11.12
KPAE,US,PAE,-122.28,Snohomish County Airport (Paine Field),47.91
KGEG,US,GEG,-117.54,Spokane International Airport,47.62
ESSA,SE,ARN,17.93,Stockholm Arlanda Airport,59.65
ESOW,SE,VST,16.63,Stockholm-Vaesteras Airport,59.59
WIPP,ID,PLM,104.7,Sultan Mahmud Badaruddin II Airport,-2.9
VTBS,TH,BKK,100.75,Suvarnabhumi Airport,13.69
YSSY,AU,SYD,151.18,Sydney International Airport,-33.94
UUYY,RU,SCW,50.82,Syktyvkar Airport,61.65
RCTP,TW,TPE,121.23,Taiwan Taoyuan International Airport,25.08
RJOT,JP,TAK,134.02,Takamatsu Airport,34.22
PANC,US,ANC,-150,Ted Stevens Anchorage International Airport,61.17
RJTT,JP,HND,139.78,Tokyo International Airport,35.55
LIPH,IT,TSF,12.2,Treviso Airport,45.65
KTYR,US,TYR,-95.4,Tyler Pounds Regional Airport,32.35
VTBU,TH,UTP,101.01,U-Tapao International Airport,12.68
UWUU,RU,UFA,55.88,Ufa International Airport,54.56
